baseline,machine_config,library,field,ext_degree,basis,op,workload,vectorization,arch,simd,width,unit,ns_per_op_or_lane,lower,upper,family,label,group,bench_id
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,sub,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.045,0.045,0.045,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,packed_sub_stream_8x8x256_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,sub,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.278,0.278,0.279,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,scalar_sub_stream_8x256_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.140,0.140,0.140,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.155,0.155,0.155,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_add_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.356,0.356,0.356,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_add_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add_neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.276,0.276,0.276,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_add_neg_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add_neg,latency_chain,scalar,x86_64,avx2,8,ns/op,1.748,1.748,1.749,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_add_neg_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double,latency_chain,packed,x86_64,avx2,8,ns/lane,0.137,0.137,0.137,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_double_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_double_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double_add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.275,0.274,0.275,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_double_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double_add,latency_chain,scalar,x86_64,avx2,8,ns/op,2.092,2.092,2.092,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_double_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,latency_chain,packed,x86_64,avx2,8,ns/lane,59.157,59.155,59.161,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_inverse_chain_128x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,latency_chain,scalar,x86_64,avx2,8,ns/op,84.897,84.895,84.900,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_inverse_chain_128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,throughput_stream,packed,x86_64,avx2,8,ns/lane,58.936,58.934,58.938,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_inverse_stream_8x8x32_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,inverse,throughput_stream,scalar,x86_64,avx2,8,ns/op,74.758,74.749,74.769,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_inverse_stream_8x32_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,latency_chain,packed,x86_64,avx2,8,ns/lane,1.091,1.091,1.091,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_mul_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,latency_chain,scalar,x86_64,avx2,8,ns/op,9.244,9.238,9.248,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_mul_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,throughput_stream,packed,x86_64,avx2,8,ns/lane,1.052,1.051,1.052,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_mul_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul,throughput_stream,scalar,x86_64,avx2,8,ns/op,9.106,9.104,9.107,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_mul_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_add,latency_chain,packed,x86_64,avx2,8,ns/lane,1.185,1.185,1.185,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_mul_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_add,latency_chain,scalar,x86_64,avx2,8,ns/op,11.068,11.059,11.081,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_mul_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_self,latency_chain,packed,x86_64,avx2,8,ns/lane,1.321,1.321,1.321,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_mul_self_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_self,latency_chain,scalar,x86_64,avx2,8,ns/op,7.733,7.732,7.733,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_mul_self_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,mul_self,throughput_stream,packed,x86_64,avx2,8,ns/lane,1.167,1.167,1.167,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_mul_self_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.137,0.137,0.138,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_neg_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,neg,latency_chain,scalar,x86_64,avx2,8,ns/op,0.713,0.712,0.713,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_neg_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,latency_chain,packed,x86_64,avx2,8,ns/lane,1.176,1.176,1.176,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_square_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,latency_chain,scalar,x86_64,avx2,8,ns/op,7.709,7.709,7.710,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_square_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,throughput_stream,packed,x86_64,avx2,8,ns/lane,1.003,1.003,1.003,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_square_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,square,throughput_stream,scalar,x86_64,avx2,8,ns/op,7.755,7.754,7.756,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_square_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,latency_chain,packed,x86_64,avx2,8,ns/lane,0.140,0.140,0.140,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_sub_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_sub_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.159,0.159,0.159,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_sub_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,sub,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.354,0.354,0.354,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_sub_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.138,0.138,0.139,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.155,0.155,0.155,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,packed_add_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.355,0.355,0.356,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,scalar_add_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add_neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.277,0.276,0.277,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_add_neg_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,add_neg,latency_chain,scalar,x86_64,avx2,8,ns/op,2.214,2.214,2.214,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_add_neg_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,double,latency_chain,packed,x86_64,avx2,8,ns/lane,0.139,0.139,0.139,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_double_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,double,latency_chain,scalar,x86_64,avx2,8,ns/op,0.883,0.883,0.883,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_double_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,double_add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.276,0.276,0.276,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_double_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,double_add,latency_chain,scalar,x86_64,avx2,8,ns/op,2.685,2.684,2.685,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_double_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,inverse,latency_chain,packed,x86_64,avx2,8,ns/lane,59.609,59.608,59.610,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_inverse_chain_128x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,inverse,latency_chain,scalar,x86_64,avx2,8,ns/op,84.792,84.789,84.794,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_inverse_chain_128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,inverse,throughput_stream,packed,x86_64,avx2,8,ns/lane,58.525,58.524,58.527,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,packed_inverse_stream_8x8x32_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,inverse,throughput_stream,scalar,x86_64,avx2,8,ns/op,75.046,75.041,75.051,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,scalar_inverse_stream_8x32_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul,latency_chain,packed,x86_64,avx2,8,ns/lane,1.025,1.025,1.026,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_mul_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul,latency_chain,scalar,x86_64,avx2,8,ns/op,11.688,11.684,11.692,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_mul_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.960,0.960,0.960,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,packed_mul_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul,throughput_stream,scalar,x86_64,avx2,8,ns/op,12.538,12.535,12.539,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,scalar_mul_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul_add,latency_chain,packed,x86_64,avx2,8,ns/lane,1.254,1.253,1.254,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_mul_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul_add,latency_chain,scalar,x86_64,avx2,8,ns/op,13.081,13.079,13.083,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_mul_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul_self,latency_chain,packed,x86_64,avx2,8,ns/lane,1.040,1.040,1.040,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_mul_self_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul_self,latency_chain,scalar,x86_64,avx2,8,ns/op,7.183,7.180,7.185,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_mul_self_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,mul_self,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.846,0.846,0.846,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,packed_mul_self_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.137,0.137,0.137,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_neg_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,neg,latency_chain,scalar,x86_64,avx2,8,ns/op,0.801,0.801,0.801,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_neg_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,square,latency_chain,packed,x86_64,avx2,8,ns/lane,1.041,1.040,1.041,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_square_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,square,latency_chain,scalar,x86_64,avx2,8,ns/op,8.874,8.873,8.875,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_square_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,square,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.846,0.846,0.846,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,packed_square_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,square,throughput_stream,scalar,x86_64,avx2,8,ns/op,4.629,4.629,4.629,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,scalar_square_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,sub,latency_chain,packed,x86_64,avx2,8,ns/lane,0.140,0.140,0.140,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,packed_sub_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,sub,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_tw_fp4,field_arith_ext4_latency_chain_m31_tw_fp4_w8,scalar_sub_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,sub,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.159,0.159,0.159,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,packed_sub_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,tower,sub,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.353,0.352,0.354,ext4,m31_tw_fp4,field_arith_ext4_throughput_stream_m31_tw_fp4_w8,scalar_sub_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,power,add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.377,0.377,0.377,ext4,m31_pw_fp4,field_arith_ext4_latency_chain_m31_pw_fp4_w8,packed_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,power,add,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_pw_fp4,field_arith_ext4_latency_chain_m31_pw_fp4_w8,scalar_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,power,add,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.159,0.159,0.159,ext4,m31_pw_fp4,field_arith_ext4_throughput_stream_m31_pw_fp4_w8,packed_add_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,power,add,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.356,0.356,0.356,ext4,m31_pw_fp4,field_arith_ext4_throughput_stream_m31_pw_fp4_w8,scalar_add_stream_8x128_ns_per_op
